restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes
T001,The Royals Bistro,Soup-of-the-day,6.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Fried Chicken Wings,9.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,6pc; combination of mid-joints and drumlets; sweet Thai chilli
T001,The Royals Bistro,Chef's Special Crab Cakes,11.9,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,2pc; prices subject to 9% GST
T001,The Royals Bistro,Crispy Fries,6.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Twister Fries,7.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Garlic Bread,5.5,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,4pc; prices subject to 9% GST
T001,The Royals Bistro,Fried Samosas + Springrolls,7.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,4pc each; prices subject to 9% GST
T001,The Royals Bistro,Sweet Potato Fries,7.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Truffle Fries,9.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Tater Tots,6.0,starter_side,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Sauteed Prawn Salad,10.5,salad,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Avocado dressing; mango salsa; Japanese cucumbers
T001,The Royals Bistro,Caesar Salad Smoked Salmon,10.5,salad,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Caesar Salad Grilled Chicken Thigh,10.5,salad,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Prices subject to 9% GST
T001,The Royals Bistro,Quinoa Salad,10.5,salad,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Capsicum; walnut; zucchini; sweet potato
T001,The Royals Bistro,Pan-Fried Salmon,16.0,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Lemon butter sauce; mash; salad
T001,The Royals Bistro,Braised Lamb Shank,24.0,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Mash; salad
T001,The Royals Bistro,Fish & Chips,16.0,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Halibut
T001,The Royals Bistro,Grilled Chicken Chop,13.5,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Mash; salad; black pepper or brown sauce
T001,The Royals Bistro,Pan Seared Barramundi,16.8,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Spicy black bean sauce; mash; salad
T001,The Royals Bistro,Beef Shepherd's Pie,8.5,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Served with salad
T001,The Royals Bistro,Chicken Shepherd's Pie,8.5,main,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Served with salad
T001,The Royals Bistro,Prawn & Mushroom Linguine,14.3,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Spicy; +1.50 for extra pasta
T001,The Royals Bistro,Salmon Spinach Linguine,14.3,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Cream sauce; +1.50 for extra pasta
T001,The Royals Bistro,Linguine with Meatballs in Tomato Sauce,12.9,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Meatballs contain beef and chicken; +1.50 for extra pasta
T001,The Royals Bistro,Basic Chicken Linguine,12.9,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Minced chicken; basil cream sauce; slightly spicy; +1.50 for extra pasta
T001,The Royals Bistro,Sauteed Wild Mushroom Linguine,12.3,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Spicy; contains garlic; +1.50 for extra pasta
T001,The Royals Bistro,Linguine with Chicken in Cream Sauce,13.0,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,+1.50 for extra pasta
T001,The Royals Bistro,Beef Brisket Linguine,13.0,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Spicy; +1.50 for extra pasta
T001,The Royals Bistro,Sauteed Vegetables & Mushroom Linguine,12.5,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,Spicy; contains garlic; +1.50 for extra pasta
T001,The Royals Bistro,Chicken Sausage & Spinach Penne in Tomato Cream Sauce,12.5,pasta,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,+1.50 for extra pasta
