"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"MARGARET SEE TEOW KEE","C80174V001","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
"TAN AH KHWAI","C80174V008","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
"TAN KANG LAING PATRICK","C80174V006","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
"WAN LAN SEE","C80174V005","10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904","A","na","na","na"
"HO CHANG HOONG","C99029V000","10 KENT RIDGE CRESCENT BLOCK E2 FACULTY OF ENGINEERING NUS SINGAPORE 119260","A","na","na","na"
"MCDONALD'S RESTAURANTS PTE. LTD.","SW03062X000","10 KENT RIDGE CRESCENT NATIONAL UNIVERSITY OF SINGAPORE SINGAPORE 119260","A","na","na","na"
"TAN SIEW HOON","C98112X000","10 KENT RIDGE CRESCENT NUS - ENGINEERING FACULTY BLOCK E4 SINGAPORE 119260","A","na","na","na"
"TAN SIEW HOON","C99028A000","10 KENT RIDGE CRESCENT NUS FACULTY OF SCIENCE BLOCK S16 SINGAPORE 119260","A","na","na","na"
"2 IC CATERING PRIVATE LIMITED","SW06502K000","10 KENT RIDGE DRIVE EUSOFF HALL NUS SINGAPORE 119242","A","na","na","na"
"STARBUCKS COFFEE SINGAPORE PTE. LTD.","SW04236B000","10 MEDICAL DRIVE #01-40 YONG LOO LIN SCHOOL OF MEDICINE BLK MD11 NUS SINGAPORE 117597","A","na","na","na"
"REEDZ PTE. LTD.","C00082X000","10 SCIENCE PARK ROAD #01-10 THE ALPHA SINGAPORE 117684","A","na","na","na"
"BAY SIEU LIN","C96025J000","10 SCIENCE PARK ROAD #02-29 THE ALPA SINGAPORE SCIENCE PARK 11 SINGAPORE 117684","A","na","na","na"
"WEE TIONG POH","C00088E000","10 WEST COAST WALK CLEMENTI STADIUM SINGAPORE 127156","B","na","na","na"
"CHEERS HOLDINGS (2004) PTE. LTD.","SW09558V000","100 NORTH BUONA VISTA ROAD #01-01 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","na","na"
"KOI CAFE GROUP (S) PTE. LTD.","SW09529J000","100 NORTH BUONA VISTA ROAD #01-02/03 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","na","na"
"TAN BEE BEE","SW09472J000","100 NORTH BUONA VISTA ROAD #01-04 & #01-06 BUONA VISTA MRT STATION SINGAPORE 139345","B","6","na","na"
"TAN BEE BEE","SW10871C000","100 NORTH BUONA VISTA ROAD #01-05/07 BUONA VISTA MRT STATION SINGAPORE 139345","B","na","na","na"
"TEN & HAN TRADING PTE LTD","SW09547C000","100 NORTH BUONA VISTA ROAD #01-08 BUONA VISTA MRT STATION SINGAPORE 139345","A","na","na","na"
"UNCLE HO PTE. LTD","SW15082E000","100 PASIR PANJANG ROAD #01-04 (100 PASIR PANJANG) SINGAPORE 118518","A","na","na","na"
"FONG SENG FAST FOOD PTE LTD","SW10A03P000","101 PASIR PANJANG ROAD SINGAPORE 118527","B","na","na","na"
"TAN CHOON HUAT","SW07D52A000","103 PASIR PANJANG ROAD SINGAPORE 118531","A","na","na","na"
"WU WEN SUN","NW08266N000","105 CLEMENTI STREET 12 #01-16 SINGAPORE 120105","A","na","na","na"
"CHIN HUAT LIVE SEAFOOD PTE LTD","C85189K000","105 CLEMENTI STREET 12 #01-30 SINGAPORE 120105","A","na","na","na"
"CHIN SIOW PENG","NW07035C000","106 CLEMENTI STREET 12 #01-40/42 SINGAPORE 120106","A","na","na","na"
"NG BEE LANG","NW07153P000","106 CLEMENTI STREET 12 #01-44 SINGAPORE 120106","A","na","na","na"
"HAPPY MOOKATA 2 PTE. LTD.","NW07127V000","106 CLEMENTI STREET 12 #01-46 SINGAPORE 120106","A","na","na","na"
"THE ROYAL MAIL PTE. LTD.","NW07087B000","106 CLEMENTI STREET 12 #01-50 SINGAPORE 120106","A","na","na","na"
"BUTTERCAKENCREAM LIMITED LIABILITY PARTNERSHIP","NW07145P000","106 CLEMENTI STREET 12 #01-52 SINGAPORE 120106","A","na","na","na"
"THE CATCH SEAFOOD RESTAURANT & BAR PTE. LTD.","NW07187X000","106 CLEMENTI STREET 12 #01-54 SINGAPORE 120106","A","na","na","na"
"CHAN PEIYI, TIFFANY JOY","NW15368X000","106 CLEMENTI STREET 12 #01-62 SINGAPORE 120106","A","na","na","na"
"H.I.M. HOLDINGS PTE LTD","C85059E000","106 CLEMENTI STREET 12 #01-64 SINGAPORE 120106","A","na","na","na"
"CHANG CHENG FOOD PARADISE PTE. LTD.","C84292A002","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"CU MR FOOD STATION PTE. LTD.","C84292A008","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","na","na"
"CU MR FOOD STATION PTE. LTD.","C84292A007","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"CU MR FOOD STATION PTE. LTD.","C84292A006","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"CU MR FOOD STATION PTE. LTD.","C84292A001","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"HAW GICK HAI","C84292A004","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","A","na","na","na"
"LAI KEE FOODSTUFF PTE. LTD.","C84292A003","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","na","na"
"PONGPHUN PHANITRAM","C84292A009","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"SEAFOOD PARK PTE. LTD.","C84292A010","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","4","na","na"
"SEAFOOD PARK PTE. LTD.","C84292A011","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","0","na","na"
"TAN BEE SENG","C84292A005","107 CLEMENTI STREET 12 #01-K1 SINGAPORE 120107","B","na","na","na"
"TAN CHU PEE","B03086N000","107A CLEMENTI STREET 12 #01-66 SINGAPORE 121107","A","na","na","na"
"ONG SOO YONG","C85180E000","109 CLEMENTI STREET 11 #01-07 SINGAPORE 120109","B","na","na","na"
"PINES FOOD CATERING PTE. LTD.","SW09A35C000","11 KENT RIDGE DRIVE #01-03 SHAW FOUNDATION ALUMNI HOUSE-NUS SINGAPORE 119244","A","na","na","na"
"MASSIVE CRAVINGS LIFESTYLE PTE LTD","SW10696V000","11 KENT RIDGE DRIVE #04-02 SHAW FOUNDATION ALUMNI HOUSE SINGAPORE 119244","A","na","na","na"
"PLAYTIME RECREATION & CATERING LLP","SW14751J000","11 NORTH BUONA VISTA DRIVE (PART OF LEVEL 21) THE METROPOLIS TOWER 2 SINGAPORE 138588","A","na","na","na"
"ANG CHOR YONG","C59007E001","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","na","na"
"KEE GHIM KHUAN","C59007E002","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","na","na"
"LEE PING LUEN","C59007E003","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","na","na"
"LU XIAOFANG","C59007E004","114 PASIR PANJANG ROAD SINGAPORE 118539","B","na","na","na"
"COFFEE FOLKS LLP","C02117N000","118/120 PASIR PANJANG ROAD SINGAPORE 118541","A","na","na","na"
"SPH BUZZ PTE. LTD.","SW14972J000","12 CLEMENTI ROAD (PART OF) SINGAPORE 129742","A","na","na","na"
"ANG TECK YONG","SW06503J000","12 KENT RIDGE DRIVE NUS - TEMASEK HALL SINGAPORE 119243","A","na","na","na"
"MONKEY BUSINESS CONCEPTS PTE LTD","SW12F21K000","122 PASIR PANJANG ROAD SINGAPORE 118544","A","na","na","na"
"ASHMI (S) PTE LTD","SW05050K000","124 PASIR PANJANG ROAD SINGAPORE 118545","B","na","na","na"
"TEN & HAN TRADING PTE LTD","SW16693A000","126 CLEMENTI AVENUE 2 (PART OF) CALTEX SERVICE STATION SINGAPORE 129930","A","na","na","na"
"CHEVRON SINGAPORE PTE. LTD.","C90111X000","126 CLEMENTI AVENUE 2 CALTEX SERVICE STATION SINGAPORE 129930","A","na","na","na"
"ESARN THAI CORNER PTE. LTD","C92059V000","130 PASIR PANJANG ROAD SINGAPORE 118548","B","na","na","na"
"ZULKIFRI BIN SALI","SW13R72X000","14 CLEMENTI ROAD SINGAPORE 129743","B","6","na","na"
"TAN SIEW HOON","SW11A79L000","14 MEDICAL DRIVE #01-03 YONG LOO LIN SCHOOL OF MEDICINE BLK MD6 NUS SINGAPORE 117599","A","na","na","na"
"ASMAH BINTI BAHAROM","C01200L002","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"HONG KWOK WAH","C01200L003","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"LIM KWEE HIANG","C01200L001","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"NG CHOOI SIEW","C01200L006","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"ROKIAH BT SAHAR","C01200L005","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"RUBIAH BTE SAHAR","C01200L007","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"TAN HUI SI","C01200L008","147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368","A","na","na","na"
"CHAN YIM YOKE CHRISTY","C80199B008","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","A","na","na","na"
"CHUA SIEW KHIM","C80199B003","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","A","na","na","na"
"JUMAAT BIN RAIS","C80199B002","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","A","na","na","na"
"NAZARIYAH BINTE NAZARI","C80199B001","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","A","na","na","na"
"ONG CHIN CHOO","C80199B006","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","A","na","na","na"
"M S NIYAS PTE.LTD.","C81162V000","15 JALAN MAS PUTEH PASIR PANJANG GARDENS SINGAPORE 128620","B","na","na","na"
"SUPERSNACKS LLP","SW10597B000","15 KENT RIDGE DRIVE #01-03 MOCHTAR RIADY BLDG NUS BUSINESS SCHOOL SINGAPORE 119245","A","na","na","na"
"SAW PENG RUI","C91025C000","151 PASIR PANJANG ROAD #02-13/14 PASIR PANJANG DISTRIPARK SINGAPORE 118479","B","na","na","na"
"ABDUL BASHIR S/O SAIDEK","C92078N000","16 CLEMENTI ROAD SINGAPORE 129745","B","na","na","na"
"SINGAPORE FOOD INDUSTRIES PTE. LTD.","SW15917N000","16 COLLEGE AVENUE WEST RC1/RC 2 YALE-NUS COLLEGE (LEVEL 1 & 2) NUS U-TOWN SINGAPORE 138527","A","na","na","na"
"COLD STORAGE SINGAPORE (1983) PTE LTD","C96020X000","168 PASIR PANJANG ROAD SHELL SERVICE STATION SINGAPORE 118556","A","na","na","na"
"PRO*3 INSTITUTIONAL CATERING PTE. LTD.","C01116B000","18 AYER RAJAH CRESCENT P+F BUILDING (4th storey) SINGAPORE 139942","A","na","na","na"
"FEI FEI A1 PRIVATE LIMITED","C97007C000","18 CLEMENTI ROAD SINGAPORE 129747","B","6","na","na"
"CHIT HUAT PTE LTD","J03069C000","18 PASIR PANJANG #01-123 WHOLESALE CENTRE SINGAPORE 118501","B","na","na","na"
"ISS CATERING SERVICES PTE. LTD.","SW11C24J000","19 KENT RIDGE CRESCENT RAFFLES HALL - NUS SINGAPORE 119278","A","na","na","na"
"SIN HONG YUN PTE. LTD.","SW04125N000","1A KENT RIDGE ROAD KING EDWARD VII HALL NUS SINGAPORE 119224","A","na","na","na"
"MANIS CAFETARIA PTE. LTD.","NW07142A001","2 CLEMENTI LOOP MORETON LOGISTICS CENTRE SINGAPORE 129809","B","na","na","na"
"MANIS CAFETARIA PTE. LTD.","NW07142A002","2 CLEMENTI LOOP MORETON LOGISTICS CENTRE SINGAPORE 129809","B","na","na","na"
"MANIS CAFETARIA PTE. LTD.","NW07142A003","2 CLEMENTI LOOP MORETON LOGISTICS CENTRE SINGAPORE 129809","B","6","na","na"
"MANIS CAFETARIA PTE. LTD.","NW07142A004","2 CLEMENTI LOOP MORETON LOGISTICS CENTRE SINGAPORE 129809","B","na","na","na"
"PIZZA HUT SINGAPORE PTE LTD","SW12N49C000","2 COLLEGE AVENUE WEST #01-04 STEPHEN RIADY CENTRE UNIVERSITY TOWN NUS SINGAPORE 138607","A","na","na","na"
"FOODGLE HUB PTE. LTD.","SW13O86B000","2 COLLEGE AVENUE WEST #01-06 EDUSPORTS UNIVERSITY TOWN NUS SINGAPORE 138607","A","na","na","na"
"ASTON FOOD & BEVERAGE SPECIALITIES PTE. LTD.","SW12N87N010","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"CHODEE FOOD HOLDINGS PTE. LTD.","SW12N87N007","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","B","na","na","na"
"DOUGLAS NG CHEN YONG (HUANG ZHENGYONG)","SW12N87N004","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"FOOD AMAZE PTE. LTD.","SW12N87N006","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"GS2 F&B PTE. LTD.","SW12N87N002","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"KAN KOCK KUAN","SW12N87N003","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","B","6","na","na"
"KIMLY FOOD HOLDINGS PTE. LTD.","SW12N87N005","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","B","na","na","na"
"KIMLY FOOD HOLDINGS PTE. LTD.","SW12N87N001","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"NIE MIN","SW12N87N008","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","A","na","na","na"
"SI HAI XIANG GROUP PTE. LTD.","SW12N87N009","2 COLLEGE AVENUE WEST #02-01 UNIVERSITY TOWN NUS EDUSPORTS SINGAPORE 138607","B","6","na","na"
"CHIA PENG SENG","C01055P000","20 AYER RAJAH CRESCENT #01-01 SINGAPORE 139964","A","na","na","na"
"7TH HEAVEN FOOD CONCEPTS LLP","SW05180N007","20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATH & SCIENCE SINGAPORE 129957","A","na","na","na"
"CHIA KOK LEONG","SW05180N008","20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATH & SCIENCE SINGAPORE 129957","A","na","na","na"
"TOH YOK LAN","SW05180N005","20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATH & SCIENCE SINGAPORE 129957","A","na","na","na"
"WONG CHUNG KEONG","SW05180N003","20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATH & SCIENCE SINGAPORE 129957","A","na","na","na"
"FORMOSA DELIGHTS PTE LTD","C98132K000","20 CLEMENTI ROAD SINGAPORE 129749","A","na","na","na"
"SINGAPORE FOOD INDUSTRIES PTE. LTD.","SW15E34C000","20 COLLEGE AVENUE WEST #02-402 YALE-NUS COLLEGE NUS U-TOWN SINGAPORE 138529","A","na","na","na"
"ANG TECK YONG","C03015P000","20 HENG MUI KENG TERRACE 1st STOREY SHEARES HALL - NUS SINGAPORE 119618","B","na","na","na"
"ASHLEY VSH PTE. LTD","SW11B95E000","20 HENG MUI KENG TERRACE SHEARES HALL NUS (PART OF) SINGAPORE 119618","A","na","na","na"
"STARBUCKS COFFEE SINGAPORE PTE. LTD.","SW10420E000","20 PASIR PANJANG ROAD #02-11 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"THE BAKERY DEPOT PTE LTD","SW10904V000","20 PASIR PANJANG ROAD #02-12 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"SAGAR PTE. LTD.","SW10740B000","20 PASIR PANJANG ROAD #02-12A MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"COMMONWEALTH RETAIL CONCEPTS PTE. LTD.","SW10665L000","20 PASIR PANJANG ROAD #02-13 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"ASTON FOOD & BEVERAGE SPECIALITIES PTE. LTD.","SW10683J000","20 PASIR PANJANG ROAD #02-15 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"BENFRIS JOYFUL PTE. LTD.","SW10507P000","20 PASIR PANJANG ROAD #02-16 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"FOODNATION 2 PTE. LTD.","SW10762L000","20 PASIR PANJANG ROAD #02-17 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"CAI JIEYING JACQUELINE","SW10414B013","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"DAY 'N' NIGHT HERBAL SOUP RESTAURANT PTE LTD","SW10414B008","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"LIM HOCK CHEE","SW10414B001","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"LIM HOCK CHEE","SW10414B011","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"PESHWAI FOODS PTE. LTD.","SW10414B007","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"SONG HUAT CATERING & SUPPLIER PTE LTD","SW10414B010","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"SONG KAR CHUAN","SW10414B009","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"TAY KIANG TEE","SW10414B006","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"TIAN SHIJUN","SW10414B004","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"TOCK POH LIAN","SW10414B012","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","A","na","na","na"
"WU QIFENG","SW10414B005","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"ZHANG BOTENG","SW10414B003","20 PASIR PANJANG ROAD #02-21 MAPLETREE BUSINESS CITY SINGAPORE 117439","B","na","na","na"
"SUNMET (SINGAPORE) PTE. LTD","C97031C000","20 SCIENCE PARK #01-11 TELETECH PARK S'PORE SCIENCE PARK II SINGAPORE 117674","B","na","na","na"
"LEOW BOON KOK","C02131X000","20 SCIENCE PARK DRIVE DSO NATIONAL LABORATORIES SINGAPORE 118230","A","na","na","na"
"IFOOD PTE LTD","C01186X000","21 LOWER KENT RIDGE ROAD #01-20 BLK EA FACULTY OF ENGINEERING - NUS SINGAPORE 119077","A","na","na","na"
"LEGENDS ESPRESSO (PRIVATE) LIMITED","C00075P000","21 LOWER KENT RIDGE ROAD FACULTY OF ARTS & SOCIAL SCIENCES BLK AS2 NUS SINGAPORE 119077","A","na","na","na"
"FOCACCIA FOODS PTE. LTD.","C78063A004","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"FOOD JUNCTION SINGAPORE PTE LTD","C78063A003","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","B","na","na","na"
"FOOD JUNCTION SINGAPORE PTE LTD","C78063A007","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"ROYAL T GROUP PTE. LTD.","C78063A008","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"WANG XUELAN","C78063A006","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"WOOLEEJEEP PTE. LTD.","C78063A001","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"ZHEN CHEN TRADING PTE. LTD.","C78063A002","21 LOWER KENT RIDGE ROAD LEVEL 2 YUSOF ISHAK HOUSE - NUS SINGAPORE 119077","A","na","na","na"
"FOOD PARADISE ENTERPRISE PTE. LTD.","SW07176L001","21 LOWER KENT RIDGE ROAD NUS - THE DECK (LEVEL 2) SINGAPORE 119077","A","na","na","na"
"INDONESIAN EXPRESS PTE. LTD.","SW07176L003","21 LOWER KENT RIDGE ROAD NUS - THE DECK (LEVEL 2) SINGAPORE 119077","A","na","na","na"
"MEGA 7 FOOD INDUSTRY PTE. LTD","SW07176L002","21 LOWER KENT RIDGE ROAD NUS - THE DECK (LEVEL 2) SINGAPORE 119077","A","na","na","na"
"ARRON INBARAJ","C81069L008","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"CHUA KAY BOON","C81069L011","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"FOOD AMAZE PTE. LTD.","C81069L006","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"JOO HWANG KYUNG WON","C81069L007","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"JOSEPH KOH YORK SEK","C81069L003","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","A","na","na","na"
"KWEK AH THONG","C81069L004","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"LEE MAY CHAI","C81069L009","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"NUR BAIZURAH BINTE HAMZAH","C81069L005","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"SPINELLI PTE LTD","C81069L013","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","A","na","na","na"
"TAN MENG SAN","C81069L012","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"WANG DUO","C81069L001","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"WONG KAI HENG","C81069L002","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"YEO PHECK GEOK","C81069L010","21 LOWER KENT RIDGE ROAD NUS CANTEEN 4 -FRONTIER FACULTY OF SCIENCE SINGAPORE 119077","B","na","na","na"
"AW CHEOW HUAT","C76060A002","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"CHING AH BAH","C76060A005","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"FARIDAH BINTI JAFFAR","C76060A013","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","B","na","na","na"
"KANEDA JAPANESE CUISINE LLP","C76060A006","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"LAI CHENG BOON","C76060A003","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"LEE MAY CHAI","C76060A012","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"NG SONG CHIAW","C76060A007","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"OON KOK WEE","C76060A004","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"SARAVANAN S/O NADARAJAN","C76060A011","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","B","na","na","na"
"SETON LIN","C76060A014","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"SOH HOE ANN","C76060A009","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","B","na","na","na"
"TEO KHIAN LYE","C76060A010","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"WONG LEE CHOO","C76060A001","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"WONG SIEW MEI","C76060A008","21 LOWER KENT RIDGE ROAD Techno Edge (Faculty of Engineering) NUS Canteen 1 SINGAPORE 119077","A","na","na","na"
"ANG MUI KEE","C81041N009","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","A","na","na","na"
"CHUA KAY CHEE","C81041N012","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","A","na","na","na"
"CHUA KIM BUAY","C81041N007","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","A","na","na","na"
"CHUA SUI TEE","C81041N013","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","A","na","na","na"
"KHNG SIEW CHOO","C81041N004","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","A","na","na","na"
"LEE KIN SUA","C81041N002","21 LOWER KENT RIDGE ROAD THE DECK FACULTY OF ART & SOCIAL SCIENCES SINGAPORE 119077","B","na","na","na"
